comment,target
"Ürün çok kaliteli, kesinlikle tavsiye ederim!",0
Fiyat performans oranı harika!,0
Kullanımı çok kolay!,0
Ürünün pil ömrü çok uzun!,0
Ergonomik tasarımı sayesinde rahatlıkla kullanılıyor!,0
Ses kalitesi mükemmel!,0
Kargo hızlı bir şekilde geldi!,0
Ürünü kullanmaya başladığımdan beri sorun yaşamıyorum!,0
Tasarımı çok şık ve modern!,0
Kaliteli malzeme kullanılmış!,0
Ürün beklediğimden daha iyi çıktı!,0
"Kullanışlı bir ürün, herkese öneririm!",0
"Ürün sorunsuz çalışıyor, kesinlikle tavsiye ederim!",0
Fiyatı uygun ve performansı iyi!,0
"Harika bir deneyim yaşadım, teşekkür ederim!",0
Ses kalitesi muhteşem!,0
"Herhangi bir sorun yaşamıyorum, çok memnunum!",0
Tasarımı çok sade ve şık!,0
Fiyatı uygun ve performansı iyi!,0
Ürünü kullanırken herhangi bir sorun yaşamadım!,0
Tasarımı çok şık ve modern!,0
Bu ürünü almak yerine başka bir ürünü tercih edin.,1
"Fiyatı pahalı, performansı düşük.",1
"Ürünü iade ettim, memnun kalmadım.",1
"Kullanımı zor, pek memnun kalmadım.",1
Ürünü aldığım gibi iade ettim.,1
"Ses kalitesi kötü, hayal kırıklığına uğradım.",1
"Beklentilerimi karşıladı, memnunum.",1
Ürünün fiyatı çok yüksek.,1
Bunu almak yerine başka bir seçenek düşünün.,1
Ürün çok hafif ve taşıması kolay.,1
"Beklediğim gibi değildi, hayal kırıklığı yaşadım.",1
"Ürünü kullanmaktan mutluyum, işime yarıyor.",1
"Kötü bir deneyim yaşadım, ürünü iade ettim.",1
"Çok para verip aldım, ama pişmanım.",1
Kullanımı zor ve karmaşık.,1
"Beklediğim gibi çıkmadı, hayal kırıklığı yaşadım.",1
"Fiyatı çok yüksek, performansı düşük.",1
"Kullanımı karmaşık, pek hoşuma gitmedi.",1
"Ürünü aldım ama kullanamıyorum, hayal kırıklığı yaşadım.",1
